ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
1552320,LAWRENCE Matthew,M,NA,NA,NA,Mozambique,MOZ,2024 Summer,2024,Summer,Paris,Swimming,Mens 100m Breaststroke,NA
1552338,DONELLI Denise,F,NA,NA,NA,Mozambique,MOZ,2024 Summer,2024,Summer,Paris,Swimming,Womens 100m Backstroke,NA
1552341,FANIEL Eyob,M,NA,174,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Mens Marathon,NA
1552342,MESLEK Ossama,M,NA,178,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Mens 1500m,NA
1552343,MEUCCI Daniele,M,NA,178,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Mens Marathon,NA
1552347,TECUCEANU Catalin,M,NA,180,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Mens 800m,NA
1552348,VISSA Sintayehu,F,NA,168,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Womens 1500m,NA
1552349,YAREMCHUK Sofiia,F,NA,170,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Womens Marathon,NA
1552351,ZOGHLAMI Osama,M,NA,178,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Mens 3000m Steeplechase,NA
1552358,FOLORUNSO Ayomide,F,NA,165,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Womens 400m Hurdles,NA
1552362,MURARO Alice,F,NA,172,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Womens 400m Hurdles,NA
1552364,SARTORI Rebecca,F,NA,173,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Womens 400m Hurdles,NA
1552365,SIBILIO Alessandro,M,NA,187,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Mens 400m Hurdles,NA
1552365,SIBILIO Alessandro,M,NA,187,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Mens 4 x 400m Relay,NA
1552368,DAYIBEKOVA Zaynab,F,NA,NA,NA,Uzbekistan,UZB,2024 Summer,2024,Summer,Paris,Fencing,Womens Sabre Individual,NA
1552370,SULAMANIDZE Ilia,M,NA,NA,NA,Georgia,GEO,2024 Summer,2024,Summer,Paris,Judo,Men -100 kg,Silver
1552370,SULAMANIDZE Ilia,M,NA,NA,NA,Georgia,GEO,2024 Summer,2024,Summer,Paris,Judo,Mixed Team,Silver
1552373,BRUNI Roberta,F,NA,170,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Womens Pole Vault,NA
1552374,DALLAVALLE Andrea,M,NA,187,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Mens Triple Jump,NA
1552375,DIAZ HERNANDEZ Andy,M,NA,192,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Mens Triple Jump,Bronze
1552378,FURLANI Mattia,M,NA,183,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Mens Long Jump,Bronze
1552379,IAPICHINO Larissa,F,NA,172,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Womens Long Jump,NA
1552380,IHEMEJE Emmanuel,M,NA,188,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Mens Triple Jump,NA
1552381,MOLINAROLO Elisa,F,NA,172,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Womens Pole Vault,NA
1552383,SOTTILE Stefano,M,NA,184,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Mens High Jump,NA
1552384,STECCHI Claudio Michel,M,NA,186,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Mens Pole Vault,NA
1552385,TAMBERI Gianmarco,M,NA,192,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Mens High Jump,NA
1552386,FABBRI Leonardo,M,NA,200,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Mens Shot Put,NA
1552387,FANTINI Sara,F,NA,167,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Womens Hammer Throw,NA
1552389,OSAKUE Daisy,F,NA,180,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Womens Discus Throw,NA
1552390,WEIR Zane,M,NA,190,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Mens Shot Put,NA
1552392,GEREVINI Sveva,F,NA,171,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Womens Heptathlon,NA
1552394,FORTUNATO Francesco,M,NA,178,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Mens 20km Race Walk,NA
1552394,FORTUNATO Francesco,M,NA,178,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Marathon Race Walk Relay Mixed,NA
1552395,GIORGI Eleonora Anna,F,NA,165,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Womens 20km Race Walk,NA
1552403,LAKLALECH Ines,F,NA,168,NA,Morocco,MAR,2024 Summer,2024,Summer,Paris,Golf,Womens Individual Stroke Play,NA
1552443,GOBADZE Lasha,M,NA,NA,NA,Georgia,GEO,2024 Summer,2024,Summer,Paris,Wrestling,Mens Greco-Roman 87kg,NA
1552444,KOBLIASHVILI Roberti,M,NA,NA,NA,Georgia,GEO,2024 Summer,2024,Summer,Paris,Wrestling,Mens Greco-Roman 97kg,NA
1552449,ZOIDZE Ramaz,M,NA,NA,NA,Georgia,GEO,2024 Summer,2024,Summer,Paris,Wrestling,Mens Greco-Roman 67kg,NA
1552495,MATCHARASHVILI Givi,M,NA,NA,NA,Georgia,GEO,2024 Summer,2024,Summer,Paris,Wrestling,Mens Freestyle 97kg,Silver
1552548,ANTOGNELLI Quentin,M,NA,NA,NA,Monaco,MON,2024 Summer,2024,Summer,Paris,Rowing,Mens Single Sculls,NA
1552556,GADEAU Marvin,M,NA,NA,NA,Monaco,MON,2024 Summer,2024,Summer,Paris,Judo,Men +100 kg,NA
1552558,DRUENNE Theo,M,NA,NA,NA,Monaco,MON,2024 Summer,2024,Summer,Paris,Swimming,Mens 800m Freestyle,NA
1552569,POU Lisa,F,NA,NA,NA,Monaco,MON,2024 Summer,2024,Summer,Paris,Marathon Swimming,Womens 10km,NA
1552575,YANG Xiaoxin,F,NA,NA,NA,Monaco,MON,2024 Summer,2024,Summer,Paris,Table Tennis,Womens Singles,NA
1553020,GASTAUD Marie-Charlotte,F,NA,167,NA,Monaco,MON,2024 Summer,2024,Summer,Paris,Athletics,Womens 100m,NA
1553021,MICHELI Elena,F,NA,NA,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Modern Pentathlon,Womens Individual,NA
1553029,SOTERO Alice,F,NA,NA,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Modern Pentathlon,Womens Individual,NA
1553031,MALAN Giorgio,M,NA,NA,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Modern Pentathlon,Mens Individual,Bronze
1553033,CICINELLI Matteo,M,NA,NA,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Modern Pentathlon,Mens Individual,NA
1553039,SMIKLE Traves,M,NA,183,NA,Jamaica,JAM,2024 Summer,2024,Summer,Paris,Athletics,Mens Discus Throw,NA
1553247,EDER Josefin,F,NA,NA,NA,Germany,GER,2024 Summer,2024,Summer,Paris,Shooting,10m Air Pistol Women,NA
1553247,EDER Josefin,F,NA,NA,NA,Germany,GER,2024 Summer,2024,Summer,Paris,Shooting,25m Pistol Women,NA
1553247,EDER Josefin,F,NA,NA,NA,Germany,GER,2024 Summer,2024,Summer,Paris,Shooting,10m Air Pistol Mixed Team,NA
1553249,UNRUH Florian,M,NA,NA,NA,Germany,GER,2024 Summer,2024,Summer,Paris,Archery,Mens Individual,NA
